true\pred,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,3674,0,0,3,6,2,2,0,0,2,1,0,0,0,0,2,2,0,1,2,6,0,0,1,0
1,0,3909,0,0,0,0,0,3,0,0,0,8,19,0,0,0,0,0,0,0,0,1,0,5,0
2,5,0,11380,3,8,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
3,0,0,1,15198,0,0,60,0,10,1,1,0,0,0,6,2,0,8,0,0,1,0,12,0,0
4,3,0,3,4,22722,0,0,0,0,1,3,0,0,0,0,27,0,0,0,0,0,0,0,0,0
5,6,0,21,2,3,2542,6,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,1
6,1,0,0,192,0,4,3844,0,28,2,0,0,0,0,1,0,0,20,0,0,1,0,1,0,3
7,0,15,0,0,0,0,0,1373,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
8,0,0,0,19,0,2,30,0,6812,5,30,0,0,0,3,0,0,0,0,0,2,2,70,0,42
9,3,0,0,4,0,0,0,0,22,10121,57,0,0,3,0,0,0,0,1,0,0,0,0,0,3
10,2,0,2,2,0,0,1,0,55,33,6899,0,0,0,0,1,1,0,0,0,26,0,7,0,10
11,0,0,0,0,0,0,0,0,0,0,0,10149,172,0,0,0,7,0,0,0,0,0,0,0,0
12,0,5,1,0,0,0,0,0,5,0,0,123,6557,0,0,5,16,0,0,0,0,0,0,0,4
13,0,0,3,1,0,0,0,0,3,0,0,0,0,13405,0,6,0,0,0,0,7,0,1,0,0
14,0,0,0,20,0,0,1,0,5,1,0,0,0,2,16902,1,2,18,0,0,1,0,16,0,2
15,1,0,0,0,7,0,0,0,2,0,0,0,0,2,3,22086,0,0,0,0,0,0,0,0,0
16,3,0,0,10,0,0,1,0,3,0,0,48,26,1,0,0,15853,0,1,0,0,0,0,8,0
17,1,0,0,8,0,0,10,0,3,0,0,0,0,0,26,0,0,3544,0,0,0,0,10,0,1
18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13,6,2739,0,0,0,0,2,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2283,0,1,0,2,0
20,9,0,0,2,0,7,3,0,0,0,13,0,0,0,0,0,0,0,0,0,6914,1,1,0,1
21,0,2,0,0,0,0,0,22,4,0,0,1,0,0,0,0,1,0,0,0,0,6516,0,0,0
22,0,0,0,1,0,0,6,0,93,0,3,0,0,0,10,0,0,12,1,0,0,0,10382,0,8
23,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1197,0
24,4,0,0,0,0,2,5,0,6,0,3,1,1,0,0,0,1,0,0,0,0,0,0,0,60124
