id,class,precision,recall,f1,support
0,"Chamfer",0.9876,0.9919,0.9898,3704
1,"Through hole",0.9942,0.9909,0.9925,3945
2,"Triangular passage",0.9973,0.9975,0.9974,11408
3,"Rectangular passage",0.9825,0.9933,0.9879,15300
4,"6-sided passage",0.9989,0.9982,0.9986,22763
5,"Triangular through slot",0.9899,0.9822,0.9860,2588
6,"Rectangular through slot",0.9685,0.9382,0.9531,4097
7,"Circular through slot",0.9821,0.9871,0.9846,1391
8,"Rectangular through step",0.9661,0.9708,0.9684,7017
9,"2-sided through step",0.9956,0.9909,0.9932,10214
10,"Slanted through step",0.9836,0.9801,0.9819,7039
11,"O-ring",0.9825,0.9827,0.9826,10328
12,"Blind hole",0.9677,0.9763,0.9720,6716
13,"Triangular pocket",0.9994,0.9984,0.9989,13426
14,"Rectangular pocket",0.9971,0.9959,0.9965,16971
15,"6-sided pocket",0.9980,0.9993,0.9987,22101
16,"Circular end pocket",0.9972,0.9937,0.9954,15954
17,"Rectangular blind slot",0.9823,0.9836,0.9829,3603
18,"Vertical circular end blind slot",0.9975,0.9920,0.9947,2761
19,"Horizontal circular end blind slot",0.9991,0.9983,0.9987,2287
20,"Triangular blind step",0.9930,0.9947,0.9938,6951
21,"Circular blind step",0.9988,0.9954,0.9971,6546
22,"Rectangular blind step",0.9888,0.9873,0.9880,10516
23,"Round",0.9852,0.9901,0.9876,1209
24,"Stock",0.9988,0.9996,0.9992,60147
